<DATE>   <TIME>  <OPEN>  <HIGH>  <LOW>   <CLOSE> <TICKVOL>   <VOL>   <SPREAD>
2024.01.09   15:01:00  17544 17545 17491  17530    1641  1641  1
2024.01.09   15:02:00  17530 17533 17525  17532    329  329  1
2024.01.09   15:03:00  17531 17535 17530  17530    147  147  1
2024.01.09   15:04:00  17530 17532 17527  17530    155  155  1
2024.01.09   15:05:00  17530 17531 17527  17528    106  106  1
2024.01.09   15:06:00  17529 17533 17527  17532    88  88  1
2024.01.09   15:07:00  17531 17536 17530  17536    160  160  1
2024.01.09   15:08:00  17535 17543 17534  17543    124  124  1
2024.01.09   15:09:00  17541 17542 17540  17542    75  75  1
2024.01.09   15:10:00  17542 17543 17541  17543    40  40  1
2024.01.09   15:11:00  17543 17544 17539  17540    52  52  1
2024.01.09   15:12:00  17540 17541 17540  17541    9  9  1
2024.01.09   15:13:00  17541 17541 17538  17539    34  34  1
2024.01.09   15:14:00  17540 17542 17540  17541    44  44  1
2024.01.09   15:15:00  17540 17543 17538  17542    126  126  1
2024.01.09   15:16:00  17542 17543 17541  17543    36  36  1
2024.01.09   15:17:00  17543 17546 17542  17545    72  72  1
2024.01.09   15:18:00  17545 17546 17530  17531    374  374  1
2024.01.09   15:19:00  17530 17531 17505  17507    1028  1028  1
2024.01.09   15:20:00  17507 17528 17495  17524    904  904  1
2024.01.09   15:21:00  17524 17538 17521  17537    499  499  1
2024.01.09   15:22:00  17536 17542 17536  17539    249  249  1
2024.01.09   15:23:00  17540 17541 17528  17528    147  147  1
2024.01.09   15:24:00  17529 17529 17524  17526    145  145  1
2024.01.09   15:25:00  17527 17530 17522  17522    125  125  1
2024.01.09   15:26:00  17523 17527 17522  17527    138  138  1
2024.01.09   15:27:00  17528 17528 17523  17524    65  65  1
2024.01.09   15:28:00  17523 17525 17515  17515    149  149  1
2024.01.09   15:29:00  17515 17515 17504  17507    395  395  1
2024.01.09   15:30:00  17508 17508 17501  17502    321  321  1
2024.01.09   15:31:00  17502 17510 17500  17508    204  204  1
2024.01.09   15:32:00  17507 17512 17507  17511    91  91  1
2024.01.09   15:33:00  17512 17517 17512  17516    99  99  1
2024.01.09   15:34:00  17516 17531 17516  17531    142  142  1
2024.01.09   15:35:00  17531 17533 17516  17519    171  171  1
2024.01.09   15:36:00  17520 17524 17520  17523    59  59  1
2024.01.09   15:37:00  17524 17524 17518  17522    108  108  1
2024.01.09   15:38:00  17521 17521 17511  17512    77  77  1
2024.01.09   15:39:00  17512 17513 17511  17511    49  49  1
2024.01.09   15:40:00  17512 17512 17509  17510    127  127  1
2024.01.09   15:41:00  17510 17510 17502  17502    242  242  1
2024.01.09   15:42:00  17503 17515 17503  17509    155  155  1
2024.01.09   15:43:00  17510 17517 17510  17517    89  89  1
2024.01.09   15:44:00  17517 17520 17513  17513    89  89  1
2024.01.09   15:45:00  17513 17514 17510  17513    45  45  1
2024.01.09   15:46:00  17513 17522 17513  17522    112  112  1
2024.01.09   15:47:00  17522 17526 17517  17517    146  146  1
2024.01.09   15:48:00  17517 17517 17511  17514    60  60  1
2024.01.09   15:49:00  17515 17517 17513  17517    41  41  1
2024.01.09   15:50:00  17516 17517 17515  17517    43  43  1
2024.01.09   15:51:00  17517 17527 17517  17521    183  183  1
2024.01.09   15:52:00  17522 17522 17519  17522    44  44  1
