1101,0,41
1102,0,48
1104,0,48
1210,0,54
1215,0,55
1216,0,46
1229,0,51
1301,0,36
1303,0,35
1308,0,34
1314,0,39
1316,0,35
1319,0,37
1326,0,29
1402,0,51
1409,0,44
1436,0,46
1438,0,40
1442,0,47
1446,0,8
1446,0,41
1449,0,34
1453,0,43
1456,0,6
1456,0,43
1476,0,43
1477,0,46
1503,0,42
1504,0,37
1513,0,51
1514,0,56
1519,0,54
1522,0,37
1529,0,45
1532,0,37
1536,0,25
1540,0,39
1560,0,54
1582,0,38
1590,0,41
1597,0,32
1605,0,44
1608,0,43
1609,0,42
1611,0,39
1612,0,56
1618,0,61
1702,0,44
1707,0,30
1708,0,40
1709,0,37
1711,0,45
1712,0,46
1717,0,38
1720,0,52
1722,0,52
1723,0,37
1727,0,38
1736,0,32
1773,0,45
1786,0,40
1795,0,46
1802,0,40
1806,0,44
1808,0,40
2002,0,30
2006,0,50
2009,0,43
2014,0,37
2020,0,54
2027,0,40
2031,0,47
2049,0,40
2059,0,44
2062,0,39
2101,0,34
2105,0,43
2201,0,41
2204,0,48
2206,0,45
2207,0,39
2211,0,50
2236,0,47
2301,0,50
2303,0,48
2308,0,54
2312,0,50
2313,0,48
2316,0,44
2317,0,37
2323,0,39
2324,0,48
2327,0,43
2328,0,36
2329,0,44
2330,0,46
2331,0,47
2337,0,35
2338,0,44
2340,0,40
2344,0,38
2345,0,50
2347,0,53
2348,0,50
2349,0,32
2351,0,40
2352,0,41
2353,0,45
2354,0,39
2355,0,47
2356,0,38
2357,0,49
2359,0,44
2360,0,44
2362,0,33
2363,0,38
2364,0,30
2365,0,48
2367,0,38
2368,0,55
2371,0,39
2374,0,44
2376,0,48
2377,0,43
2379,0,48
2382,0,52
2383,0,43
2385,0,49
2388,0,35
2392,0,43
2393,0,49
2395,0,38
2399,0,39
2401,0,47
2402,0,44
2404,0,43
2405,0,44
2406,0,40
2408,0,41
2409,0,41
2412,0,44
2417,0,37
2419,0,30
2421,0,38
2427,0,47
2438,0,35
2439,0,38
2441,0,46
2442,0,59
2449,0,48
2451,0,44
2453,0,44
2454,0,47
2455,0,47
2457,0,43
2458,0,49
2464,0,42
2465,0,47
2467,0,47
2472,0,49
2474,0,40
2476,0,49
2481,0,44
2486,0,52
2489,0,46
2492,0,33
2495,0,37
2498,0,29
2501,0,31
2504,0,48
2511,0,44
2515,0,46
2520,0,46
2524,0,37
2527,0,47
2528,0,33
2530,0,40
2534,0,34
2536,0,46
2537,0,46
2538,0,44
2539,0,45
2540,0,47
2542,0,36
2543,0,45
2545,0,48
2547,0,35
2548,0,43
2597,0,40
2603,0,54
2605,0,44
2606,0,44
2609,0,41
2610,0,42
2615,0,33
2618,0,40
2633,0,39
2634,0,50
2637,0,44
2645,0,25
2707,0,42
2727,0,36
2731,0,34
2739,0,43
2801,0,38
2809,0,50
2812,0,51
2834,0,44
2838,0,47
