date,open,high,low,close,volume,macd,macdsignal,macdhist,upperband,middleband,lowerband,slowk,slowd,rsi,sma5,sma10,sma20
2020-01-04 00:00:00,39.700001,39.900002,39.150002,39.5,870.407,,,,,,,,,,,,
2020-01-11 00:00:00,39.450001,39.450001,38.099998,38.099998,2965.454,,,,,,,,,,,,
2020-01-18 00:00:00,38.400002,39.25,38.200001,39.099998,1469.932,,,,,,,,,,,,
2020-01-25 00:00:00,39.200001,39.200001,39.0,39.0,337.002,,,,,,,,,,,,
2020-02-01 00:00:00,37.900002,37.900002,36.349998,36.650002,3064.082,,,,,,,,,,38.4699996,,
2020-02-08 00:00:00,35.0,39.299999,34.950001,35.799999,3067.435,,,,,,,,,,37.7299994,,
2020-02-15 00:00:00,35.0,36.0,34.799999,35.849998,2989.736,,,,,,,,,,37.2799994,,
2020-02-22 00:00:00,35.849998,36.25,35.400002,36.150002,1792.335,,,,,,,,,,36.6900002,,
2020-02-29 00:00:00,36.0,36.0,35.0,35.299999,1853.168,,,,,,,,,,35.95,,
2020-03-07 00:00:00,34.950001,35.150002,34.5,34.599998,2343.561,,,,,,,,,,35.5399992,37.0049994,
2020-03-14 00:00:00,34.5,34.5,28.200001,29.0,5798.04,,,,,,,7.4925744055,9.2543347103,,34.1799994,35.9549994,
2020-03-21 00:00:00,29.4,29.75,25.5,27.799999,5545.937,,,,,,,17.3404565254,9.9172556781,,32.5699996,34.9249995,
2020-03-28 00:00:00,26.700001,30.700001,26.049999,30.200001,3307.771,,,,,,,38.3410788709,21.0580366006,,31.3799994,34.0349998,
2020-04-04 00:00:00,29.5,30.700001,29.1,30.65,1368.032,,,,,,,51.6509060369,35.7774804777,,30.4499996,33.1999998,
2020-04-11 00:00:00,30.65,32.650002,30.1,32.299999,2995.398,,,,,,,72.048362359,54.0134490889,30.9523853616,29.9899998,32.7649995,
2020-04-18 00:00:00,32.049999,33.599998,31.75,33.450001,2736.437,,,,,,,94.9690021735,72.8894235232,35.1986344972,30.88,32.5299997,
2020-04-25 00:00:00,33.700001,33.700001,31.299999,32.599998,2040.495,,,,,,,92.098478902,86.3719478115,33.5560267389,31.8399998,32.2049997,
2020-05-02 00:00:00,32.650002,33.700001,32.5,33.549999,2256.606,,,,,,,98.1001043195,95.0558617984,37.0896361146,32.5099994,31.9449994,
2020-05-09 00:00:00,33.299999,37.599998,32.950001,36.950001,7911.131,,,,,,,95.205969028,95.1348507499,47.7911836403,33.7699996,32.1099996,
2020-05-16 00:00:00,37.200001,38.299999,37.0,37.25,10259.249,,,,41.696387637,34.6899996,27.683611563,88.7642681513,94.0234471663,48.6216647032,34.7599998,32.3749998,34.6899996
2020-05-23 00:00:00,37.150002,37.950001,36.799999,36.900002,2486.287,,,,41.2674865565,34.5599997,27.8525128435,82.4628008943,88.8110126912,47.6689735637,35.45,33.165,34.5599997
2020-05-30 00:00:00,37.299999,37.599998,36.799999,37.099998,2605.051,,,,41.1159603175,34.5099997,27.9040390825,79.7544554422,83.6605081626,48.292445246,36.35,34.0949999,34.5099997
2020-06-06 00:00:00,37.549999,38.200001,37.200001,38.099998,3357.038,,,,40.927147559,34.4599997,27.992851841,91.6798398245,84.632365387,51.4096874398,37.2599998,34.8849996,34.4599997
2020-06-13 00:00:00,38.299999,38.799999,36.049999,37.099998,5688.789,,,,40.5920484609,34.3649996,28.1379507391,52.2467312506,74.5603421724,48.275479374,37.2899992,35.5299994,34.3649996
2020-06-20 00:00:00,37.099998,39.150002,37.049999,38.900002,4634.71,,,,40.9662512777,34.4774996,27.9887479223,79.1874991419,74.371356739,53.7421899593,37.6199996,36.1899997,34.4774996
2020-06-27 00:00:00,39.299999,39.549999,38.75,39.0,2711.741,,,,41.4283195867,34.63749965,27.8466797133,83.3723776345,71.6022026757,54.0328462644,38.0399992,36.7449996,34.63749965
