date,open,high,low,close,volume,macd,macdsignal,macdhist,upperband,middleband,lowerband,slowk,slowd,rsi,sma5,sma10,sma20
2020-01-04 00:00:00,228.0,235.0,223.0,224.0,10309.277,,,,,,,,,,,,
2020-01-11 00:00:00,223.0,244.5,223.0,235.5,24809.877,,,,,,,,,,,,
2020-01-18 00:00:00,238.5,245.0,232.0,234.0,14174.769,,,,,,,,,,,,
2020-01-25 00:00:00,234.5,235.0,231.5,232.0,1747.016,,,,,,,,,,,,
2020-02-01 00:00:00,221.0,229.0,220.0,224.0,6283.163,,,,,,,,,,229.9,,
2020-02-08 00:00:00,218.5,228.5,208.0,209.5,18866.92,,,,,,,,,,227.0,,
2020-02-15 00:00:00,203.5,215.5,200.5,215.0,11654.505,,,,,,,,,,222.9,,
2020-02-22 00:00:00,213.0,218.5,211.0,211.0,7567.722,,,,,,,,,,218.3,,
2020-02-29 00:00:00,208.0,209.5,191.0,191.5,8781.176,,,,,,,,,,210.2,,
2020-03-07 00:00:00,185.0,197.0,181.5,195.5,7188.439,,,,,,,,,,204.5,217.2,
2020-03-14 00:00:00,191.5,193.0,157.5,163.5,13323.54,,,,,,,13.471331155,14.5043313926,,195.3,211.15,
2020-03-21 00:00:00,164.5,166.5,133.5,141.5,16394.298,,,,,,,9.9124589472,15.3941473011,,180.6,201.75,
2020-03-28 00:00:00,133.5,160.0,127.5,151.0,18975.587,,,,,,,23.3326462445,15.5721454489,,168.6,193.45,
2020-04-04 00:00:00,150.0,167.0,147.5,164.5,10204.565,,,,,,,46.453320769,26.5661419869,,163.2,186.7,
2020-04-11 00:00:00,166.0,177.5,162.5,171.5,14256.834,,,,,,,64.3831335612,44.7230335249,33.0097087379,158.4,181.45,
2020-04-18 00:00:00,172.0,187.5,168.0,179.5,13478.561,,,,,,,84.1820171094,65.0061571465,36.547983966,161.6,178.45,
2020-04-25 00:00:00,180.0,181.0,169.0,176.0,6701.893,,,,,,,85.3779003858,77.9810170188,35.6605610123,168.5,174.55,
2020-05-02 00:00:00,179.0,198.5,177.5,196.5,10364.974,,,,,,,95.9745529712,88.5114901555,44.2058439159,177.6,173.1,
2020-05-09 00:00:00,187.5,192.5,185.5,189.5,8340.791,,,,,,,82.8408621885,88.0644385151,42.1473557673,182.6,172.9,
2020-05-16 00:00:00,192.5,194.0,178.0,181.0,5997.593,,,,252.1887413995,194.325,136.4612586005,53.3144370604,77.3766174067,39.7281511189,184.5,171.45,194.325
2020-05-23 00:00:00,181.0,191.0,179.0,184.5,5638.404,,,,248.547173194,192.35,136.152826806,50.6995257645,62.2849416711,41.2241625195,185.5,173.55,192.35
2020-05-30 00:00:00,186.0,198.0,183.0,196.5,9543.515,,,,242.6933733852,190.4,138.1066266148,78.9568729158,60.9902785802,46.1585684373,189.6,179.05,190.4
2020-06-06 00:00:00,202.0,211.0,199.0,209.0,10011.554,,,,237.9847087121,189.15,140.3152912879,91.4984416912,73.7182801238,50.7928040946,192.1,184.85,189.15
2020-06-13 00:00:00,209.0,218.0,199.0,209.5,11620.099,,,,233.4749325495,188.025,142.5750674505,83.8520264925,84.7691136998,50.9745763292,196.1,189.35,188.025
2020-06-20 00:00:00,209.0,216.0,204.5,211.5,6780.303,,,,230.9903045413,187.4,143.8096954587,84.1024160697,86.4842947511,51.7424832358,202.2,193.35,187.4
2020-06-27 00:00:00,210.5,219.0,210.5,215.5,4137.092,,,,232.0410909879,187.7,143.3589090121,89.1810761133,85.7118395585,53.3173976412,208.4,196.95,187.7
2020-07-04 00:00:00,213.0,226.5,209.5,224.0,11212.979,,,,233.8824121931,188.15,142.4175878069,91.1984013888,88.1606311906,56.5616103388,213.9,201.75,188.15
2020-07-11 00:00:00,227.0,232.0,210.0,210.0,13887.203,,,,233.7244030098,188.1,142.4755969902,48.4485869059,76.2760214693,50.3545397323,214.1,203.1,188.1
2020-07-18 00:00:00,212.0,218.5,202.0,203.5,9309.528,,,,234.8491424622,188.7,142.5508575378,12.732319892,50.7931027289,47.7353038274,212.9,204.5,188.7
2020-07-25 00:00:00,205.0,209.0,199.0,199.0,5261.036,,,,235.1654441408,188.875,142.5845558592,-1.8798268344,19.7670266545,45.9531898013,210.4,206.3,188.875
2020-08-01 00:00:00,199.5,202.0,189.0,195.5,6682.854,,,,235.187589041,190.475,145.762410959,6.2743024949,5.7089318508,44.559779415,206.4,207.4,190.475
2020-08-08 00:00:00,197.5,210.5,195.5,208.5,8046.318,,,,232.4576878271,193.825,155.1923121729,33.1977475756,12.5307410787,50.5567310742,203.3,208.6,193.825
2020-08-15 00:00:00,208.5,221.5,205.0,217.5,13444.954,,,,231.2517305279,197.15,163.0482694721,74.7239841164,38.065344729,54.2466147221,204.8,209.45,197.15
2020-08-22 00:00:00,220.0,242.0,214.0,242.0,27199.303,4.9767429341,0.6191734999,4.3575694342,237.1524392775,201.025,164.8975607225,97.5783933764,68.5000416895,62.4597800757,212.5,212.7,201.025
2020-08-29 00:00:00,242.0,252.0,233.5,245.0,23033.082,7.4494483435,1.9852284686,5.4642198749,243.1684234145,204.7,166.2315765855,95.5640640139,89.2888138356,63.3278672806,221.7,216.05,204.7
2020-09-05 00:00:00,244.0,261.0,240.5,251.5,14564.727,9.8203776718,3.5522583093,6.2681193625,250.3188957494,208.3,166.2811042506,90.84715863,94.6632053401,65.2052673583,232.9,219.65,208.3
2020-09-12 00:00:00,251.0,252.0,232.0,238.0,8698.97,10.489107172,4.9396280818,5.5494790902,252.4811745207,211.4,170.3188254793,68.4044795949,84.9385674129,58.5060158388,238.8,221.05,211.4
2020-09-19 00:00:00,238.5,248.0,231.5,246.0,8041.344,11.5316831944,6.2580391043,5.2736440901,257.1839998586,213.875,170.5660001414,67.2922340103,75.5146240784,61.0592399069,244.5,224.65,213.875
2020-09-26 00:00:00,244.5,256.0,223.0,225.5,10214.648,10.581773432,7.1227859699,3.4589874621,257.6293986818,215.675,173.7206013182,21.0827714464,52.2598283505,52.1960511521,241.2,226.85,215.675
2020-10-03 00:00:00,227.5,230.0,219.5,225.5,6091.216,9.7169521261,7.6416192011,2.0753329249,256.5588269351,217.9,179.2411730649,11.8136127536,33.3962060701,52.1960511521,237.3,229.5,217.9
2020-10-10 00:00:00,222.5,234.0,218.5,219.0,5538.884,8.4101325601,7.7953218729,0.6148106872,254.7770727518,219.625,184.4729272482,0.3140042294,11.0701294765,49.5510820122,230.8,231.85,219.625
2020-10-17 00:00:00,219.5,223.5,214.0,214.0,5858.388,6.8915687115,7.6145712406,-0.7230025291,253.9866055312,220.5,187.0133944688,-3.3060656257,2.9405171191,47.5548143005,226.0,232.4,220.5
2020-10-24 00:00:00,216.0,223.0,215.0,219.5,4319.174,6.0620207536,7.3040611432,-1.2420403896,254.0582653359,221.025,187.9917346641,6.4368618884,1.1482668307,49.9437335102,220.7,232.6,221.025
2020-10-31 00:00:00,219.5,221.0,215.5,219.5,3980.828,5.3430071597,6.9118503465,-1.5688431868,254.1028892617,221.525,188.9471107383,21.3407592472,8.1571851699,49.9437335102,219.5,230.35,221.525
2020-11-07 00:00:00,216.5,232.5,216.5,230.0,6180.054,5.5563952881,6.6407593348,-1.0843640467,254.8725650589,222.45,190.0274349411,65.9815437751,31.2530549702,54.5295921288,220.4,228.85,222.45
