date,open,high,low,close,volume,macd,macdsignal,macdhist,upperband,middleband,lowerband,slowk,slowd,rsi,sma5,sma10,sma20
2020-01-04 00:00:00,23.1,23.75,23.0,23.25,47.879,,,,,,,,,,,,
2020-01-11 00:00:00,23.1,23.1,22.1,22.4,125.011,,,,,,,,,,,,
2020-01-18 00:00:00,22.15,22.6,22.1,22.6,68.835,,,,,,,,,,,,
2020-01-25 00:00:00,22.6,22.6,22.5,22.5,10.0,,,,,,,,,,,,
2020-02-01 00:00:00,22.299999,22.299999,20.25,20.65,92.784,,,,,,,,,,22.28,,
2020-02-08 00:00:00,20.0,20.9,19.549999,19.85,80.913,,,,,,,,,,21.6,,
2020-02-15 00:00:00,19.799999,19.9,19.5,19.75,63.823,,,,,,,,,,21.07,,
2020-02-22 00:00:00,20.1,20.5,19.799999,19.799999,36.993,,,,,,,,,,20.5099998,,
2020-02-29 00:00:00,19.75,20.0,19.200001,19.5,129.077,,,,,,,,,,19.9099998,,
2020-03-07 00:00:00,18.6,20.5,18.6,19.15,66.377,,,,,,,,,,19.6099998,20.9449999,
2020-03-14 00:00:00,18.6,18.799999,16.35,16.35,373.054,,,,,,,6.0084931598,12.0360127153,,18.9099998,20.2549999,
2020-03-21 00:00:00,16.049999,16.200001,12.5,14.1,170.721,,,,,,,15.9105129307,14.1036423356,,17.7799998,19.4249999,
2020-03-28 00:00:00,12.8,15.45,12.8,14.4,125.885,,,,,,,22.2208896408,14.7132985771,,16.7,18.6049999,
2020-04-04 00:00:00,14.4,14.4,12.5,13.05,312.708,,,,,,,11.5245114081,16.5519713265,,15.41,17.6599999,
2020-04-11 00:00:00,12.6,16.4,12.6,15.25,423.656,,,,,,,35.2698894325,23.0050968271,20.3703659808,14.63,17.1199999,
2020-04-18 00:00:00,15.25,16.549999,14.5,15.8,164.283,,,,,,,71.674487491,39.4896294439,23.7172451782,14.52,16.7149999,
2020-04-25 00:00:00,15.8,21.0,15.5,17.200001,1722.86,,,,,,,63.5868613915,56.843746105,31.5982707782,15.1400002,16.46,
2020-05-02 00:00:00,17.450001,17.799999,16.200001,17.35,834.893,,,,,,,60.81529246,65.3588804475,32.4040604195,15.7300002,16.2150001,
2020-05-09 00:00:00,17.4,17.450001,16.15,16.4,514.164,,,,,,,50.3177367759,58.2399635425,29.9940976928,16.4000002,15.9050001,
2020-05-16 00:00:00,16.4,16.700001,15.55,15.55,372.38,,,,24.6297338318,18.245,11.8602661682,24.6102506573,45.2477599644,27.9883849455,16.4600002,15.5450001,18.245
2020-05-23 00:00:00,15.9,17.450001,15.15,17.450001,424.341,,,,23.8719059881,17.95500005,12.0380941119,33.4410856941,36.1230243758,37.9730390306,16.7900004,15.6550002,17.95500005
2020-05-30 00:00:00,18.700001,18.85,15.65,16.0,652.25,,,,23.2067416109,17.63500005,12.0632584891,24.8601245544,27.6371536352,34.0885158204,16.5500002,15.8450002,17.63500005
2020-06-06 00:00:00,15.9,17.299999,15.8,16.85,216.674,,,,22.3853639412,17.34750005,12.3096361588,39.4728261038,32.5913454507,38.0868628282,16.4500002,16.0900002,17.34750005
2020-06-13 00:00:00,17.0,17.049999,15.6,16.200001,160.417,,,,21.4346523416,17.0325001,12.6303478584,31.5686260463,31.9671922348,36.2746823166,16.4100004,16.4050003,17.0325001
2020-06-20 00:00:00,15.8,17.35,15.8,16.299999,352.028,,,,20.8650746591,16.81500005,12.7649254409,30.8220073582,33.9544865028,36.7730977334,16.5600002,16.5100002,16.81500005
2020-06-27 00:00:00,16.5,16.5,16.0,16.15,68.502,,,,20.413993664,16.63000005,12.846006436,20.0816315119,27.4907549721,36.3142816338,16.3,16.5450002,16.63000005
2020-07-04 00:00:00,16.25,18.35,16.0,18.35,640.732,,,,20.1381127791,16.56000005,12.9818873209,78.9145912108,43.2727433603,46.7988075941,16.77,16.6600001,16.56000005
2020-07-11 00:00:00,18.0,19.1,16.5,16.75,1298.865,,,,19.6314063413,16.4075001,13.1835938587,48.5370404757,49.1777543995,41.4537481755,16.75,16.6000001,16.4075001
2020-07-18 00:00:00,16.65,17.4,16.549999,16.75,136.178,,,,19.1383265958,16.2700001,13.4016736042,33.9707303353,53.8074540073,41.4537481755,16.8599998,16.6350001,16.2700001
2020-07-25 00:00:00,16.6,17.4,16.1,16.1,110.004,,,,18.6279172383,16.1175001,13.6070829617,9.8618856612,30.7898854907,39.3369420365,16.82,16.6900001,16.1175001
2020-08-01 00:00:00,16.049999,16.15,15.5,15.95,100.917,,,,18.6064236194,16.0975001,13.5885765806,9.1312998515,17.654638616,38.8439910807,16.78,16.54,16.0975001
2020-08-08 00:00:00,16.200001,16.799999,16.0,16.049999,53.118,,,,18.5130759259,16.19500005,13.8769241741,11.8741409362,10.2891088163,39.3892986274,16.3199998,16.5449999,16.19500005
2020-08-15 00:00:00,16.0,16.75,16.0,16.5,79.618,,,,18.4528843874,16.30000005,14.1471157126,41.4261251839,20.8105219906,41.8999221436,16.2699998,16.5099999,16.30000005
2020-08-22 00:00:00,16.5,17.25,15.85,16.5,225.475,-0.7917371991,-1.0370239254,0.2452867263,17.9501585294,16.47250005,14.9948415706,51.6154846867,34.9719169356,41.8999221436,16.2199998,16.5399998,16.47250005
2020-08-29 00:00:00,16.299999,17.950001,16.25,17.15,228.246,-0.6775659129,-0.9651323229,0.28756641,17.9514605045,16.56750005,15.1835395955,65.4533473822,52.8316524176,45.6699262389,16.4299998,16.6249999,16.56750005
2020-09-05 00:00:00,17.6,18.4,17.200001,17.700001,251.745,-0.5365192024,-0.8794096988,0.3428904964,18.0867414613,16.6625001,15.2382587387,73.2878146847,63.4522155845,48.7030587432,16.78,16.78,16.6625001
2020-09-12 00:00:00,17.799999,18.5,17.450001,17.65,176.26,-0.4238870253,-0.7883051641,0.3644181389,18.1606520316,16.68500005,15.2093480684,71.5933446538,70.1115022403,48.438306327,17.1000002,16.71,16.68500005
2020-09-19 00:00:00,17.65,17.950001,17.4,17.9,78.605,-0.3108688007,-0.6928178914,0.3819490907,18.2624067234,16.71250005,15.1625933766,77.3279947562,74.0697180316,49.9046216,17.3800002,16.825,16.71250005
2020-09-26 00:00:00,18.35,18.35,16.85,17.25,90.769,-0.2706309461,-0.6083805024,0.3377495563,18.3159022699,16.75500005,15.1940978301,54.0837466431,67.6683620177,46.2239641329,17.5300002,16.875,16.75500005
2020-10-03 00:00:00,17.049999,17.15,17.0,17.0,9.517,-0.2559644681,-0.5378972955,0.2819328274,18.2788096812,16.82750005,15.3761904188,19.34770755,50.2531496498,44.8537307536,17.5000002,16.965,16.82750005
2020-10-10 00:00:00,16.75,16.950001,16.549999,16.85,104.628,-0.2535224757,-0.4810223315,0.2274998559,18.2177101503,16.7975,15.3772898497,12.8198104266,28.7504215399,44.010741621,17.33,17.055,16.7975
2020-10-17 00:00:00,17.0,17.15,16.25,16.5,114.134,-0.2766403166,-0.4401459286,0.1635056119,18.1985511877,16.8225,15.4464488123,9.2191255791,13.7955478519,42.0260045738,17.1,17.1000001,16.8225
2020-10-24 00:00:00,16.950001,16.950001,16.25,16.5,97.582,-0.291599989,-0.4104367406,0.1188367516,18.188811018,16.805,15.421188982,8.9903634487,10.3430998181,42.0260045738,16.82,17.1000001,16.805
2020-10-31 00:00:00,17.15,17.15,16.299999,16.299999,116.291,-0.315951949,-0.3915397823,0.0755878333,18.1848990517,16.8099999,15.4351007483,4.8997844348,7.7030911542,40.8064354011,16.6299998,17.08,16.8099999
