date,open,high,low,close,volume,macd,macdsignal,macdhist,upperband,middleband,lowerband,slowk,slowd,rsi,sma5,sma10,sma20
2020-01-04 00:00:00,7.36,7.36,7.19,7.19,163.509,,,,,,,,,,,,
2020-01-11 00:00:00,7.18,7.39,6.66,7.21,184.307,,,,,,,,,,,,
2020-01-18 00:00:00,7.3,7.33,7.18,7.18,40.022,,,,,,,,,,,,
2020-01-25 00:00:00,7.16,7.3,7.16,7.18,43.064,,,,,,,,,,,,
2020-02-01 00:00:00,7.18,7.3,7.17,7.26,27.341,,,,,,,,,,7.204,,
2020-02-08 00:00:00,7.26,7.36,7.09,7.09,55.012,,,,,,,,,,7.184,,
2020-02-15 00:00:00,7.17,7.17,7.08,7.15,57.948,,,,,,,,,,7.172,,
2020-02-22 00:00:00,7.15,7.2,7.0,7.07,25.758,,,,,,,,,,7.15,,
2020-02-29 00:00:00,7.1,7.1,6.95,7.08,49.304,,,,,,,,,,7.13,,
2020-03-07 00:00:00,6.91,7.16,6.8,7.0,46.214,,,,,,,,,,7.078,7.141,
2020-03-14 00:00:00,7.05,7.05,6.3,6.8,90.118,,,,,,,48.6237397844,35.5918605052,,7.02,7.102,
2020-03-21 00:00:00,6.8,7.0,6.23,6.98,633.418,,,,,,,70.9652174467,50.3568994524,,6.986,7.079,
2020-03-28 00:00:00,6.98,7.05,6.7,6.9,23.215,,,,,,,74.1817467507,64.5902346606,,6.952,7.051,
2020-04-04 00:00:00,6.56,7.2,6.52,6.6,54.485,,,,,,,49.0271844354,64.7247162109,,6.856,6.993,
2020-04-11 00:00:00,6.51,6.92,6.41,6.65,105.505,,,,,,,43.8838096034,55.6975802631,29.8507462687,6.786,6.932,
2020-04-18 00:00:00,6.53,7.0,6.47,6.76,151.898,,,,,,,50.9569104017,47.9559681468,35.5485232068,6.778,6.899,
2020-04-25 00:00:00,6.51,6.68,6.39,6.6,101.355,,,,,,,32.1108148165,42.3171782739,31.5361359056,6.702,6.844,
2020-05-02 00:00:00,6.54,7.0,6.54,6.9,133.762,,,,,,,53.6308464753,45.5661905645,44.2436732264,6.702,6.827,
2020-05-09 00:00:00,6.65,6.8,6.65,6.76,83.598,,,,,,,59.6134645684,48.4517086201,40.4687252121,6.734,6.795,
2020-05-16 00:00:00,6.69,6.79,6.5,6.56,117.346,,,,7.4174207675,6.946,6.4745792325,36.7795234414,50.0079448283,35.773008311,6.716,6.751,6.946
2020-05-23 00:00:00,6.6,6.7,6.44,6.55,121.631,,,,7.4030520831,6.914,6.4249479169,27.6138622173,41.3356167424,35.5508883812,6.674,6.726,6.914
2020-05-30 00:00:00,6.55,6.64,6.5,6.54,37.97,,,,7.3762278966,6.8805,6.3847721034,18.6970844015,27.6968233534,35.3147465963,6.662,6.682,6.8805
2020-06-06 00:00:00,6.58,6.58,6.48,6.52,693.91,,,,7.3473209554,6.8475,6.3476790446,19.5317140852,21.947553568,34.8166381605,6.586,6.644,6.8475
2020-06-13 00:00:00,6.52,6.6,6.39,6.45,551.559,,,,7.3153892247,6.811,6.3066107753,14.9963318738,17.7417101201,33.0590738968,6.524,6.629,6.811
2020-06-20 00:00:00,6.41,6.61,6.4,6.5,160.411,,,,7.2472514207,6.773,6.2987485793,29.2263065783,21.2514508457,35.5613069172,6.512,6.614,6.773
2020-06-27 00:00:00,6.53,6.8,6.49,6.66,510.901,,,,7.2026470132,6.7515,6.3003529868,57.1255320284,33.7827234935,42.9148080242,6.534,6.604,6.7515
2020-07-04 00:00:00,6.74,6.74,6.36,6.36,704.804,,,,7.1540786808,6.712,6.2699213192,16.8921261155,34.4146549074,34.877979353,6.498,6.58,6.712
