date,open,high,low,close,volume,macd,macdsignal,macdhist,upperband,middleband,lowerband,slowk,slowd,rsi,sma5,sma10,sma20
2020-01-04 00:00:00,10.75,10.9,10.65,10.7,615.247,,,,,,,,,,,,
2020-01-11 00:00:00,10.55,10.7,10.5,10.55,698.904,,,,,,,,,,,,
2020-01-18 00:00:00,10.5,10.6,10.4,10.45,674.867,,,,,,,,,,,,
2020-01-25 00:00:00,10.45,10.6,10.4,10.5,319.842,,,,,,,,,,,,
2020-02-01 00:00:00,9.88,10.2,9.88,10.15,1369.86,,,,,,,,,,10.47,,
2020-02-08 00:00:00,10.0,10.6,9.93,10.0,1729.196,,,,,,,,,,10.33,,
2020-02-15 00:00:00,10.0,10.05,9.98,10.0,1011.217,,,,,,,,,,10.22,,
2020-02-22 00:00:00,10.0,10.05,9.96,9.98,777.408,,,,,,,,,,10.126,,
2020-02-29 00:00:00,9.98,10.0,9.92,9.92,539.021,,,,,,,,,,10.01,,
2020-03-07 00:00:00,9.92,10.0,9.8,9.91,570.326,,,,,,,,,,9.962,10.216,
2020-03-14 00:00:00,9.86,9.86,8.26,8.44,2234.791,,,,,,,9.8376012587,9.0432221529,,9.65,9.99,
2020-03-21 00:00:00,8.44,8.45,7.02,7.29,3343.72,,,,,,,8.7940929911,9.8088895812,,9.108,9.664,
2020-03-28 00:00:00,7.29,7.84,7.09,7.74,1633.149,,,,,,,20.000052501,12.8772489169,,8.66,9.393,
2020-04-04 00:00:00,7.81,8.79,7.81,8.68,1531.831,,,,,,,47.4995158304,25.4312204409,,8.412,9.211,
2020-04-11 00:00:00,8.6,9.09,8.5,9.08,1851.328,,,,,,,69.0485621626,45.516043498,34.7169811321,8.246,9.104,
2020-04-18 00:00:00,9.1,9.75,9.08,9.68,3235.904,,,,,,,93.9830006481,70.1770262137,41.8111254851,8.494,9.072,
2020-04-25 00:00:00,9.68,9.98,9.56,9.98,3108.43,,,,,,,103.0029113895,88.6781580667,45.0277333835,9.032,9.07,
2020-05-02 00:00:00,9.98,10.1,9.9,10.0,3304.979,,,,,,,101.2320520572,99.4059880316,45.2450410503,9.484,9.072,
2020-05-09 00:00:00,9.62,10.1,9.62,10.0,3426.68,,,,,,,97.9772303233,100.7373979233,45.2450410503,9.748,9.08,
2020-05-16 00:00:00,9.99,10.05,9.75,9.78,1238.479,,,,11.5394896542,9.6415,7.7435103458,77.2648055443,92.1580293083,43.0728545461,9.888,9.067,9.6415
2020-05-23 00:00:00,10.2,10.5,10.2,10.2,1947.84,,,,11.4661848995,9.6165,7.7668151005,69.5206022605,81.5875460427,48.1870330165,9.992,9.243,9.6165
2020-05-30 00:00:00,10.2,10.35,10.05,10.3,1012.219,,,,11.4292419127,9.604,7.7787580873,74.1163931375,73.6339336475,49.3536807816,10.056,9.544,9.604
2020-06-06 00:00:00,10.35,10.4,10.25,10.4,1280.251,,,,11.4217685042,9.6015,7.7812314958,84.5771516633,76.0713823538,50.552706504,10.136,9.81,9.6015
2020-06-13 00:00:00,10.35,10.55,10.15,10.35,1952.98,,,,11.3991744625,9.594,7.7888255375,77.9798715607,78.8911387872,49.9163823592,10.206,9.977,9.594
2020-06-20 00:00:00,10.3,10.55,10.3,10.45,920.203,,,,11.4395918141,9.609,7.7784081859,79.3355836449,80.6308689563,51.2383684868,10.34,10.114,9.609
2020-06-27 00:00:00,10.45,10.5,10.3,10.35,661.128,,,,11.4804357938,9.6265,7.7725642062,64.8406157547,74.0520236535,49.8221243298,10.37,10.181,9.6265
2020-07-04 00:00:00,10.35,10.45,10.1,10.35,2795.585,,,,11.520269794,9.644,7.767730206,56.6733865102,66.9498619699,49.8221243298,10.38,10.218,9.644
2020-07-11 00:00:00,10.4,10.9,10.3,10.65,7823.262,,,,11.6045961542,9.6775,7.7504038458,64.2479547937,61.9206523529,54.2243100325,10.43,10.283,9.6775
2020-07-18 00:00:00,10.8,11.4,10.8,11.25,5928.202,,,,11.7998388653,9.744,7.6881611347,82.0507620123,67.6573677721,61.4993985375,10.61,10.408,9.744
2020-07-25 00:00:00,11.25,11.25,10.65,11.05,4240.089,,,,11.9415985121,9.801,7.6604014879,76.5656963908,74.2881377323,58.180136445,10.73,10.535,9.801
2020-08-01 00:00:00,11.1,11.15,10.3,10.75,2807.564,,,,11.9933912411,9.9165,7.8396087589,57.0145443493,71.8770009175,53.5144288779,10.81,10.59,9.9165
2020-08-08 00:00:00,11.1,11.8,11.05,11.7,3134.475,,,,11.9478905295,10.137,8.3261094705,82.8731202516,72.1511203306,63.497288055,11.08,10.73,10.137
2020-08-15 00:00:00,11.75,12.05,11.5,12.05,4116.747,,,,11.9694573858,10.3525,8.7355426142,96.9528174976,78.9468273661,66.3633077952,11.36,10.895,10.3525
2020-08-22 00:00:00,11.8,12.2,11.4,11.8,5614.996,0.5478120277,0.3723432781,0.1754687497,12.0422660928,10.5085,8.9747339072,85.4450637505,88.4236671665,62.5834932291,11.47,11.04,10.5085
