date,open,high,low,close,volume,macd,macdsignal,macdhist,upperband,middleband,lowerband,slowk,slowd,rsi,sma5,sma10,sma20
2020-01-04 00:00:00,11.45,11.7,11.35,11.5,9097.778,,,,,,,,,,,,
2020-01-11 00:00:00,11.5,11.5,11.1,11.3,14078.047,,,,,,,,,,,,
2020-01-18 00:00:00,11.6,12.15,11.45,12.0,29063.391,,,,,,,,,,,,
2020-01-25 00:00:00,12.05,12.05,11.9,11.95,3242.309,,,,,,,,,,,,
2020-02-01 00:00:00,11.0,11.5,11.0,11.25,9091.116,,,,,,,,,,11.6,,
2020-02-08 00:00:00,11.05,11.25,10.5,10.85,16239.298,,,,,,,,,,11.47,,
2020-02-15 00:00:00,10.7,10.9,10.65,10.75,11856.538,,,,,,,,,,11.36,,
2020-02-22 00:00:00,10.7,10.8,10.55,10.7,7198.822,,,,,,,,,,11.1,,
2020-02-29 00:00:00,10.65,10.65,10.1,10.15,8735.828,,,,,,,,,,10.74,,
2020-03-07 00:00:00,9.99,10.3,9.95,10.05,10337.241,,,,,,,,,,10.5,11.05,
2020-03-14 00:00:00,10.0,10.0,8.12,8.4,19478.717,,,,,,,8.1606870608,6.1162033708,,10.01,10.74,
2020-03-21 00:00:00,8.51,8.57,6.93,7.51,18182.969,,,,,,,12.9650529483,8.9085439591,,9.362,10.361,
2020-03-28 00:00:00,7.4,8.46,7.15,8.28,11627.752,,,,,,,30.6490830668,17.2582743586,,8.878,9.989,
2020-04-04 00:00:00,8.14,8.4,8.02,8.38,5243.726,,,,,,,41.5326882131,28.3822747427,,8.524,9.632,
2020-04-11 00:00:00,8.38,9.2,8.3,9.17,11827.169,,,,,,,67.0801913664,46.4206542154,33.475177305,8.348,9.424,
2020-04-18 00:00:00,9.15,9.46,9.02,9.28,9574.21,,,,,,,89.8789662432,66.1639486076,34.5745251636,8.524,9.267,
2020-04-25 00:00:00,9.25,9.33,8.75,9.3,10846.98,,,,,,,96.4714254597,84.4768610231,34.7855420894,8.882,9.122,
2020-05-02 00:00:00,9.38,9.92,9.37,9.85,10652.063,,,,,,,99.7017294674,95.3507070568,40.4716085658,9.196,9.037,
2020-05-09 00:00:00,9.77,11.3,9.63,10.65,43284.885,,,,,,,86.1759783656,94.1163777643,47.6248850895,9.65,9.087,
2020-05-16 00:00:00,10.8,11.15,10.3,10.4,22936.418,,,,12.7257542954,10.086,7.4462457046,70.6132910968,85.4969996433,45.7737747779,9.896,9.122,10.086
2020-05-23 00:00:00,10.55,10.95,10.3,10.3,13233.205,,,,12.579753696,10.026,7.472246304,62.3045906231,73.0312866952,45.0199881817,10.1,9.312,10.026
2020-05-30 00:00:00,10.4,11.0,10.3,10.8,17993.532,,,,12.5096071215,10.001,7.4923928785,69.8290591726,67.5823136308,49.4980919852,10.4,9.641,10.001
2020-06-06 00:00:00,10.8,11.05,10.65,10.9,9928.06,,,,12.3075375373,9.946,7.5844624627,74.2422075362,68.791952444,50.3687728895,10.61,9.903,9.946
2020-06-13 00:00:00,11.0,11.0,10.05,10.25,13781.637,,,,12.0242945916,9.861,7.6977054084,32.3973542836,58.8228736642,44.9446750136,10.53,10.09,9.861
2020-06-20 00:00:00,10.3,11.0,10.2,10.6,18995.383,,,,11.9189998989,9.8285,7.7380001011,45.9958933087,50.8784850428,48.1805961631,10.57,10.233,9.8285
2020-06-27 00:00:00,10.7,10.7,10.45,10.55,4563.958,,,,11.8759980309,9.8135,7.7510019691,47.8965547378,42.0966007767,47.7488306173,10.62,10.36,9.8135
2020-07-04 00:00:00,10.5,11.05,10.4,10.85,25195.906,,,,11.8914912029,9.8185,7.7455087971,71.3975814106,55.0966764857,50.6087996368,10.63,10.515,9.8185
2020-07-11 00:00:00,10.75,11.75,10.75,11.2,47997.508,,,,11.9751735274,9.8435,7.7118264726,70.1587368438,63.150957664,53.7868608459,10.69,10.65,9.8435
2020-07-18 00:00:00,11.45,11.7,10.9,10.95,28117.27,,,,12.0712452383,9.8835,7.6957547617,54.77613466,65.4441509715,51.2501861804,10.83,10.68,9.8835
2020-07-25 00:00:00,11.0,11.4,10.75,10.95,17335.91,,,,12.1694792118,9.9285,7.6875207882,43.5984576175,56.1777763738,51.2501861804,10.9,10.735,9.9285
2020-08-01 00:00:00,11.0,11.2,10.6,11.2,16833.303,,,,12.2541074733,10.0685,7.8828925267,53.9784980266,50.7843634347,53.7783399143,11.03,10.825,10.0685
2020-08-08 00:00:00,12.4,14.1,12.35,13.7,129063.629,,,,12.7902556581,10.378,7.9657443419,79.8778254212,59.1515936884,70.3420184189,11.6,11.115,10.378
2020-08-15 00:00:00,14.3,15.45,13.5,13.9,185532.025,,,,13.3488688425,10.659,7.9691311575,73.1284144638,68.9949126372,71.2302416692,12.14,11.415,10.659
2020-08-22 00:00:00,14.1,15.4,13.15,14.4,154280.291,0.7978801194,0.2719575906,0.5259225288,13.9225187594,10.96,7.9974812406,77.9012261498,76.9691553449,73.3769042779,12.83,11.83,10.96
2020-08-29 00:00:00,14.4,14.95,14.2,14.45,80527.043,0.9345708834,0.4044802492,0.5300906342,14.4563932372,11.224,7.9916067628,79.9799472761,77.0031959632,73.5891285209,13.53,12.215,11.224
2020-09-05 00:00:00,14.65,15.75,14.55,15.4,141055.395,1.1067978822,0.5449437758,0.5618541064,15.142122091,11.53,7.917877909,88.0933308539,81.9915014266,77.2928429059,14.37,12.7,11.53
2020-09-12 00:00:00,15.5,18.5,15.45,17.450001,408041.484,1.3926533271,0.7144856861,0.678167641,16.2902379376,11.93750005,7.5847621624,83.5257907088,83.8663562796,82.8740155106,15.1200002,13.3600001,11.93750005
2020-09-19 00:00:00,17.4,17.799999,16.5,17.0,174154.262,1.5648459368,0.8845577362,0.6802882006,17.0984375715,12.29500005,7.4915625285,75.2874953786,82.3022056471,78.3231210523,15.7400002,13.9400001,12.29500005
2020-09-26 00:00:00,17.0,17.299999,15.5,16.1,106302.306,1.6101268027,1.0296715495,0.5804552532,17.6015111585,12.56750005,7.5334889415,51.5642741738,70.1258534204,70.0392456977,16.0800002,14.4550001,12.56750005
2020-10-03 00:00:00,16.6,17.65,16.4,17.1,72745.354,1.707026321,1.1651425038,0.5418838172,18.2260597794,12.90250005,7.5789403206,59.0670985924,61.9729560483,73.4050229044,16.6100002,15.0700001,12.90250005
2020-10-10 00:00:00,17.1,19.049999,16.9,18.6,187246.914,1.8831495752,1.3087439181,0.5744056572,19.0833555815,13.31750005,7.5516445185,79.5225672654,63.3846466772,77.4899556843,17.2500002,15.8100001,13.31750005
2020-10-17 00:00:00,18.75,22.5,18.75,20.6,518013.249,2.1592216454,1.4788394635,0.6803821818,20.325393674,13.80750005,7.289606426,75.6486376074,71.4127678217,81.5574709374,17.88,16.5000001,13.80750005
2020-10-24 00:00:00,21.0,21.4,20.299999,20.85,147898.391,2.3708539323,1.6572423573,0.713611575,21.4087681443,14.30500005,7.2012319557,76.6608529339,77.2773526023,81.9954268227,18.65,17.1950001,14.30500005
2020-10-31 00:00:00,20.85,21.299999,19.950001,20.1,135803.886,2.4498153658,1.815756959,0.6340584068,22.0894817667,14.79750005,7.5055183333,65.0262110965,72.4452338793,76.1528805083,19.45,17.7650001,14.79750005
2020-11-07 00:00:00,20.450001,20.9,19.950001,20.15,109926.588,2.487750217,1.9501556106,0.5375946064,22.6641583044,15.27500005,7.8858417956,59.0599147248,66.9156595851,76.2742545527,20.06,18.3350001,15.27500005
2020-11-14 00:00:00,20.4,20.5,18.4,19.35,104408.56,2.4253031606,2.0451851206,0.38011804,22.9596272671,15.71500005,8.4703728329,31.1635535883,51.7498931365,70.1244146374,20.21,18.7300001,15.71500005
2020-11-21 00:00:00,19.450001,19.6,18.6,19.0,66254.199,2.3208183938,2.1003117752,0.2205066185,23.1162784832,16.12250005,9.1287216168,19.8132090535,36.6788924555,67.5580083098,19.89,18.885,16.12250005
2020-11-28 00:00:00,19.1,21.35,18.950001,20.799999,140391.639,2.3560987002,2.1514691602,0.20462954,23.4856863777,16.6025,9.7193136223,63.0392443852,38.0053356757,73.0256082668,19.8799998,19.2649999,16.6025
2020-12-05 00:00:00,21.5,21.799999,20.35,20.65,103386.707,2.3449241061,2.1901601494,0.1547639567,23.6379242771,17.0875,10.5370757229,67.0403605082,49.9642713156,71.9375660522,19.9899998,19.7199999,17.0875
2020-12-12 00:00:00,20.75,21.549999,19.799999,20.049999,98351.907,2.2615829727,2.2044447141,0.0571382586,23.5111078785,17.54249995,11.5738920215,54.5893518557,61.5563189164,67.5988787679,19.9699996,20.0149998,17.54249995
2020-12-19 00:00:00,20.049999,20.700001,19.549999,19.799999,57621.235,2.1505711677,2.1936700048,-0.0430988371,23.1746615169,17.9724999,12.7703382831,41.689548767,54.4397537103,65.8176579933,20.0599994,20.1349997,17.9724999
2020-12-26 00:00:00,19.799999,20.65,19.4,20.200001,72823.724,2.0709971647,2.1691354368,-0.0981382721,23.1622388036,18.29749995,13.4327610964,42.1869804949,46.1552937059,67.3022364225,20.2999996,20.0949998,18.29749995
2021-01-02 00:00:00,20.299999,21.15,20.049999,20.1,53346.604,1.9770744653,2.1307232425,-0.1536487772,23.0453213469,18.60749995,14.1696785531,31.709762467,38.5287639096,66.5243630251,20.1599998,20.0199998,18.60749995
2021-01-09 00:00:00,20.15,20.25,18.65,18.9,72851.101,1.7852310459,2.0616248032,-0.2763937572,22.780454338,18.83249995,14.884545562,13.0451974044,28.9806467887,57.8793672652,19.8099998,19.8999998,18.83249995
2021-01-16 00:00:00,19.200001,19.299999,17.85,17.85,37474.414,1.5308211756,1.9554640776,-0.4246429021,22.3843270338,19.00249995,15.6206728662,0.8074104737,15.1874567817,51.564974354,19.37,19.6699998,19.00249995
2021-01-23 00:00:00,17.799999,19.5,17.200001,19.200001,83630.075,1.4217443349,1.8487201291,-0.4269757942,22.0949996144,19.1925,16.2900003856,35.5208042808,16.457804053,57.9212170616,19.2500004,19.6549999,19.1925
2021-01-30 00:00:00,19.049999,19.4,18.0,18.0,35108.823,1.2243564816,1.7238473996,-0.499490918,22.0599343867,19.21999995,16.3800655133,25.1923478328,20.5068541958,51.4569779076,18.8100002,19.5549999,19.21999995
2021-02-06 00:00:00,18.0,18.9,17.4,18.5,29122.533,1.0956411381,1.5982061473,-0.5025650092,21.9535740768,19.29499995,16.6364258232,38.1527735843,32.955308566,53.7720141176,18.4900002,19.325,19.29499995
2021-02-20 00:00:00,19.0,19.799999,18.799999,19.65,31370.593,1.0740477363,1.4933744651,-0.4193267288,21.6418300087,19.47249995,17.3031698913,81.2163230632,48.1871481601,58.6558148364,18.6400002,19.225,19.47249995
2021-02-27 00:00:00,20.0,20.450001,19.799999,20.049999,60314.213,1.0767987208,1.4100593162,-0.3332605954,21.4753826345,19.6199999,17.7646171655,90.3319126553,69.9003364343,60.2296460948,19.08,19.225,19.6199999
2021-03-06 00:00:00,20.25,20.65,19.25,19.299999,49644.452,1.0068537802,1.329418209,-0.3225644288,21.452279469,19.65499985,17.857720231,70.0278395818,80.5253584334,55.9305251047,19.0999996,19.175,19.65499985
2021-03-13 00:00:00,19.4,20.0,18.75,19.700001,39247.59,0.9724884874,1.2580322647,-0.2855437773,21.3492003655,19.6099999,17.8707994345,71.2910537257,77.2169353209,57.6660994594,19.4399998,19.125,19.6099999
2021-03-20 00:00:00,19.85,20.1,19.1,19.25,24637.064,0.8985841071,1.1861426332,-0.2875585261,21.1689416893,19.5299999,17.8910581107,38.1363051662,59.8183994912,55.0399503484,19.5899998,19.04,19.5299999
2021-03-27 00:00:00,19.4,19.9,19.1,19.6,27730.843,0.8583617681,1.1205864602,-0.2622246921,21.1214199928,19.5049999,17.8885798072,40.7082785769,50.0452124896,56.6919380246,19.5799998,19.11,19.5049999
2021-04-03 00:00:00,19.799999,20.15,19.65,19.700001,30577.166,0.8250439268,1.0614779535,-0.2364340267,21.0722271059,19.48249995,17.8927727941,46.3058207064,41.7168014832,57.1760961868,19.5100002,19.2950001,19.48249995
2021-04-10 00:00:00,20.049999,21.6,20.0,20.549999,104134.142,0.8573441032,1.0206511834,-0.1633070802,21.2034505351,19.5424999,17.8815492649,58.4971194832,48.5037395889,61.1515810246,19.7600002,19.4299999,19.5424999
2021-04-17 00:00:00,21.0,23.0,20.0,22.700001,221197.306,1.0443903371,1.0253990142,0.0189913229,21.9049466167,19.72749995,17.5500532833,84.5725229436,63.1251543778,68.9926336755,20.3600002,19.9,19.72749995
2021-04-24 00:00:00,23.5,29.0,23.5,27.0,396169.434,1.5220545108,1.1247301135,0.3973243973,24.0030923844,20.0375,16.0719076156,83.6428689469,75.5708371246,78.3879462631,21.9100002,20.75,20.0375
2021-05-01 00:00:00,27.9,36.799999,27.799999,34.5,417155.75,2.4772380713,1.3952317051,1.0820063663,28.4532764596,20.73,13.0067235404,87.5424430608,85.2526116505,86.226871764,24.8900002,22.235,20.73
