date,open,high,low,close,volume,macd,macdsignal,macdhist,upperband,middleband,lowerband,slowk,slowd,rsi,sma5,sma10,sma20
2020-01-04 00:00:00,182.0,183.0,176.0,176.5,971.277,,,,,,,,,,,,
2020-01-11 00:00:00,177.5,180.0,171.0,174.5,700.999,,,,,,,,,,,,
2020-01-18 00:00:00,175.5,178.5,172.5,172.5,802.423,,,,,,,,,,,,
2020-01-25 00:00:00,173.0,173.0,172.0,172.5,92.14,,,,,,,,,,,,
2020-02-01 00:00:00,159.0,168.0,159.0,162.0,530.631,,,,,,,,,,171.6,,
2020-02-08 00:00:00,150.0,173.0,148.0,150.0,1156.325,,,,,,,,,,166.3,,
2020-02-15 00:00:00,147.0,155.0,142.5,151.5,928.796,,,,,,,,,,161.7,,
2020-02-22 00:00:00,151.5,151.5,148.0,150.0,455.117,,,,,,,,,,157.2,,
2020-02-29 00:00:00,150.0,150.0,141.5,143.0,576.279,,,,,,,,,,151.3,,
2020-03-07 00:00:00,130.5,145.0,130.5,139.5,664.49,,,,,,,,,,146.8,159.2,
2020-03-14 00:00:00,137.0,137.0,108.0,111.0,1393.073,,,,,,,9.2628993087,11.8174821122,,139.0,152.65,
2020-03-21 00:00:00,111.0,111.5,89.199997,90.0,1581.819,,,,,,,2.7122379107,9.7547223577,,126.7,144.2,
2020-03-28 00:00:00,88.0,101.0,81.5,101.0,1786.052,,,,,,,21.1048210956,11.0266527716,,116.9,137.05,
2020-04-04 00:00:00,97.0,102.0,94.0,100.0,733.032,,,,,,,28.0435786764,17.2868792275,,108.3,129.8,
2020-04-11 00:00:00,100.0,121.0,97.300003,113.5,1439.827,,,,,,,51.4436875119,33.5306957613,22.6086956522,103.1,124.95,
2020-04-18 00:00:00,115.0,122.0,111.0,117.0,931.906,,,,,,,81.3447047547,53.610656981,25.0647668394,104.3,121.65,
2020-04-25 00:00:00,117.0,119.5,108.0,112.5,586.503,,,,,,,82.0640297903,71.6174740189,24.0097356113,108.8,117.75,
2020-05-02 00:00:00,114.5,132.0,113.0,127.5,1143.464,,,,,,,89.574669716,84.3278014203,33.9846665093,114.1,115.5,
2020-05-09 00:00:00,124.0,129.5,120.0,125.5,741.399,,,,,,,85.9307223309,85.8564739457,33.3559587955,119.2,113.75,
2020-05-16 00:00:00,126.5,132.5,120.0,120.0,698.78,,,,191.5969317343,135.5,79.4030682657,59.6377438255,78.3810452908,31.6233858798,120.5,111.8,135.5
2020-05-23 00:00:00,121.5,127.5,121.5,123.5,656.6,,,,185.5471348842,132.85,80.1528651158,61.1142469163,68.8942376909,33.9736957237,121.8,113.05,132.85
2020-05-30 00:00:00,124.0,129.0,120.5,127.0,683.491,,,,179.2310521243,130.475,81.7189478757,68.4183117448,63.0567674955,36.330553028,124.7,116.75,130.475
2020-06-06 00:00:00,127.5,168.0,127.5,163.5,4951.538,,,,177.2195215968,130.025,82.8304784032,85.2110641183,71.5812075931,54.5507337314,131.9,123.0,130.025
2020-06-13 00:00:00,165.5,183.0,159.0,175.5,8039.871,,,,177.9808842482,130.175,82.3691157518,88.8654147535,80.8315968722,58.7320023097,141.9,130.55,130.175
2020-06-20 00:00:00,180.0,195.0,176.0,176.5,7687.375,,,,181.2284179167,130.9,80.5715820833,79.8908686025,84.6557824915,59.0699325723,153.2,136.85,130.9
2020-06-27 00:00:00,178.0,185.0,173.5,175.5,1731.016,,,,185.8774191145,132.175,78.4725808855,75.4597498135,81.4053443898,58.5535735415,163.6,142.7,132.175
2020-07-04 00:00:00,172.0,212.5,170.5,199.0,12041.983,,,,195.8801575491,134.55,73.2198424509,81.6625162791,79.0043782317,66.0616483726,178.0,151.35,134.55
2020-07-11 00:00:00,205.0,207.0,186.5,188.0,3995.326,,,,202.1978609918,136.45,70.7021390082,61.3929609038,72.8384089988,60.5338837066,182.9,157.4,136.45
2020-07-18 00:00:00,192.0,207.0,183.0,185.5,6555.732,,,,208.0293650086,138.575,69.1206349914,40.6602423814,61.2385731881,59.3190239584,184.9,163.4,138.575
2020-07-25 00:00:00,185.0,192.0,175.0,179.5,2881.634,,,,212.5151544254,140.575,68.6348455746,23.5262878698,41.859830385,56.3938271001,185.5,169.35,140.575
2020-08-01 00:00:00,180.0,193.0,173.0,185.5,3078.007,,,,217.5553929755,144.3,71.0446070245,29.4326558458,31.2063953657,58.5928085201,187.5,175.55,144.3
2020-08-08 00:00:00,186.0,186.0,176.5,179.0,1786.571,,,,218.7098697469,148.75,78.7901302531,18.9292351389,23.9627262848,55.3371619019,183.5,180.75,148.75
2020-08-15 00:00:00,175.0,179.0,168.5,174.5,1910.083,,,,219.3449153373,152.425,85.5050846627,14.435853454,20.9325814796,53.1359335457,180.8,181.85,152.425
2020-08-22 00:00:00,175.0,193.5,175.0,185.0,3491.33,10.8129094111,7.1835560325,3.6293533786,220.1303450763,156.675,93.2196549237,51.4113368771,28.25880849,57.3946062951,180.7,182.8,156.675
2020-08-29 00:00:00,188.0,192.5,181.0,192.5,1996.677,11.7159756567,8.0900399573,3.6259356994,222.5098969358,160.625,98.7401030642,86.8023735136,50.8831879482,60.1782358689,183.3,184.4,160.625
2020-09-05 00:00:00,193.0,202.5,190.0,194.0,3283.148,12.4096489185,8.9539617496,3.455687169,224.3944761221,164.475,104.5555238779,82.1995392943,73.4710832283,60.7308387732,185.0,186.25,164.475
2020-09-12 00:00:00,198.0,198.0,184.0,190.0,2819.269,12.4926163013,9.6616926599,2.8309236414,223.7767739906,168.35,112.9232260094,70.4254165041,79.8091097707,58.4033693418,187.2,185.35,168.35
2020-09-19 00:00:00,192.5,227.0,189.5,218.0,11170.824,14.6488714723,10.6591284224,3.9897430499,229.0660666276,172.875,116.6839333724,80.277115391,77.6340237298,67.7271949899,195.9,188.35,172.875
2020-09-26 00:00:00,220.5,220.5,189.5,194.0,4379.233,14.2567765611,11.3786580501,2.878118511,228.3501426511,176.3,124.2498573489,42.5202595927,64.4075971626,56.1163617031,197.7,189.2,176.3
2020-10-03 00:00:00,198.0,206.5,195.5,202.0,1315.419,14.4252859433,11.9879836288,2.4373023146,226.0268194158,180.4,134.7731805842,39.7158947996,54.1710899277,58.6604350647,199.6,191.45,180.4
2020-10-10 00:00:00,202.0,216.5,199.0,210.0,4042.662,15.0310948788,12.5966058788,2.434489,223.1777647738,184.725,146.2722352262,53.5044345525,45.2468629816,61.0897072914,202.8,193.9,184.725
2020-10-17 00:00:00,211.5,222.0,201.0,217.0,3583.896,15.892841539,13.2558530108,2.6369885282,218.9614653036,189.225,159.4885346964,68.3429027131,53.8544106884,63.1312632001,208.2,197.7,189.225
2020-10-24 00:00:00,221.0,251.5,219.0,237.0,15401.993,17.9823257709,14.2011475628,3.7811782081,227.2810471045,192.9,158.5189528955,75.7598048277,65.8690473644,68.2560355992,212.0,203.95,192.9
2020-10-31 00:00:00,238.0,266.0,231.0,255.0,8337.423,20.850356713,15.5309893929,5.3193673202,240.4175707641,196.875,153.3324292359,83.6654998769,75.9227358059,72.0249355807,224.2,210.95,196.875
2020-11-07 00:00:00,247.5,259.0,244.0,254.0,3497.296,22.78000652,16.9807928183,5.7992137017,250.325680782,200.75,151.174319218,84.0941312888,81.1731453311,71.5169230227,234.6,217.1,200.75
2020-11-14 00:00:00,258.5,265.5,241.0,252.5,3447.527,23.9125810807,18.3671504708,5.54543061,257.9133299466,204.6,151.2866700534,81.5560571233,83.1052294297,70.7112551273,243.1,222.95,204.6
2020-11-21 00:00:00,255.0,258.5,246.0,249.5,2387.577,24.2881015363,19.5513406839,4.7367608524,264.1496435215,207.125,150.1003564785,69.5873524516,78.4125136212,69.0361635115,249.6,228.9,207.125
2020-11-28 00:00:00,249.5,265.0,247.0,255.5,2718.235,24.7841577161,20.5979040903,4.1862536258,270.8069398992,210.5,150.1930601008,69.2515296602,73.464979745,70.5393307647,253.3,232.65,210.5
2020-12-05 00:00:00,258.5,276.5,248.0,256.0,7274.686,24.9302512164,21.4643735155,3.4658777008,276.4814457742,214.025,151.5685542258,48.5448323923,62.461238168,70.6671248084,253.5,238.85,214.025
2020-12-12 00:00:00,259.0,266.5,248.5,260.0,4101.861,25.0796948281,22.187437778,2.89225705,281.5527812383,218.05,154.5472187617,50.2460344843,56.014132179,71.7238520888,254.7,244.65,218.05
2020-12-19 00:00:00,259.5,289.0,259.5,277.0,8662.921,26.2670971469,23.0033696518,3.2637274951,289.5050341563,222.625,155.7449658437,65.4190304478,54.7366324415,75.726238211,259.6,251.35,222.625
2020-12-26 00:00:00,276.0,295.0,276.0,286.0,6706.616,27.6160066884,23.9258970591,3.6901096293,297.3485206599,227.975,158.6014793401,77.7485101988,64.4711917103,77.5388662151,266.9,258.25,227.975
2021-01-02 00:00:00,284.0,287.0,280.0,283.0,1025.258,28.1188160821,24.7644808637,3.3543352184,302.1021025879,233.4,164.6978974121,76.6198164167,73.2624523544,75.5146075909,272.4,262.85,233.4
2021-01-09 00:00:00,285.0,288.0,266.5,270.0,3662.118,27.1552756802,25.242639827,1.9126358532,304.1267762079,237.65,171.1732237921,54.6260656686,69.664797428,67.3137862253,275.2,264.35,237.65
2021-01-16 00:00:00,270.5,273.0,249.0,250.0,2476.256,24.4954616823,25.0932041981,-0.5977425157,303.5079133079,240.525,177.5420866921,13.9832667772,48.4097162875,57.049083415,273.2,263.95,240.525
2021-01-23 00:00:00,250.0,250.0,231.0,245.0,2823.309,21.7335508671,24.4212735319,-2.6877226648,301.9417823883,243.075,184.2082176117,15.6460438383,28.085125428,54.7992932685,266.8,263.2,243.075
2021-01-30 00:00:00,245.5,254.5,235.0,236.0,1739.268,18.604036116,23.2578260487,-4.6537899327,298.5902959096,245.375,192.1597040904,7.7916745124,12.4736617093,50.9076453893,256.8,261.85,245.375
2021-02-06 00:00:00,244.0,273.0,237.0,271.0,4672.584,18.7321480789,22.3526904547,-3.6205423759,300.7549451806,248.025,195.2950548194,52.1257775879,25.1878319795,62.1615281649,254.4,263.4,248.025
2021-02-20 00:00:00,278.5,283.0,271.0,272.5,2218.895,18.738707046,21.629893773,-2.891186727,298.8650293083,251.95,205.0349706917,74.9459088923,44.9544536642,62.5576777445,254.9,265.05,251.95
2021-02-27 00:00:00,270.0,275.0,265.5,272.0,1788.858,18.490413279,21.0019976742,-2.5115843952,296.5047314569,255.45,214.3952685431,81.1452337261,69.4056400688,62.3234488235,259.3,266.25,255.45
2021-03-06 00:00:00,273.5,307.0,264.0,307.0,8507.577,20.877186957,20.9770355308,-0.0998485738,301.6790599217,260.3,218.9209400783,97.98567958,84.6922740661,70.6169736209,271.7,269.25,260.3
2021-03-13 00:00:00,311.0,377.0,305.5,328.0,14295.255,24.184463349,21.6185210944,2.5659422546,312.4717736149,265.85,219.2282263851,76.4493711484,85.1934281515,74.2758296175,290.1,273.45,265.85
2021-03-20 00:00:00,332.0,373.0,322.5,360.0,9508.449,29.0527344443,23.1053637644,5.9473706799,333.464026064,272.0,210.535973936,83.1697654127,85.868272047,78.6405316235,307.9,281.15,272.0
2021-03-27 00:00:00,369.0,391.5,351.5,391.5,6215.201,35.0486421748,25.4940194465,9.5546227283,360.4183610581,278.825,197.2316389419,96.5795465194,85.3995610269,81.8967595677,331.7,293.3,278.825
2021-04-03 00:00:00,390.0,413.5,376.5,383.0,6236.491,38.6688132779,28.1289782127,10.5398350651,378.7152515983,285.275,191.8347484017,85.4861018218,88.4118045846,78.4225318992,353.9,306.6,285.275
2021-04-10 00:00:00,384.0,406.5,382.5,392.0,2211.914,41.7824081503,30.8596642003,10.9227439501,396.1307724028,292.25,188.3692275972,81.6113285327,87.8923256246,79.4181313006,370.9,321.3,292.25
2021-04-17 00:00:00,395.0,406.5,375.5,401.0,3440.271,44.463630251,33.5804574104,10.8831728406,412.709657145,299.825,186.940342855,84.8913089787,83.9962464444,80.3924310222,385.5,337.8,299.825
2021-04-24 00:00:00,408.5,444.5,400.0,432.0,3672.201,48.5305292729,36.5704717829,11.96005749,434.4214614887,308.65,182.8785385113,86.2759635524,84.2595336879,83.3211502547,399.9,353.9,308.65
2021-05-01 00:00:00,429.0,460.0,428.0,456.0,2071.602,53.0783216202,39.8720417504,13.2062798699,458.4846542349,318.65,178.8153457651,93.2232705573,88.1301810295,85.1682131892,412.8,372.25,318.65
2021-05-08 00:00:00,456.5,476.5,405.5,462.0,3720.201,56.5151581132,43.2006650229,13.3144930903,479.9997574378,328.75,177.5002425622,88.2538168418,89.2510169838,85.5976254017,428.6,391.25,328.75
