date,open,high,low,close,volume,macd,macdsignal,macdhist,upperband,middleband,lowerband,slowk,slowd,rsi,sma5,sma10,sma20
2020-01-04 00:00:00,11997.0,12198.0,11988.0,12043.0,346400.0,,,,,,,,,,,,
2020-01-11 00:00:00,12017.0,12042.0,11697.0,12013.0,818682.0,,,,,,,,,,,,
2020-01-18 00:00:00,12085.0,12199.0,11990.0,12106.0,611876.0,,,,,,,,,,,,
2020-01-25 00:00:00,12119.0,12160.0,12079.0,12099.0,88859.0,,,,,,,,,,,,
2020-02-01 00:00:00,11770.0,11798.0,11211.0,11241.0,543773.0,,,,,,,,,,11900.4,,
2020-02-08 00:00:00,11285.0,11744.0,11152.0,11495.0,996984.0,,,,,,,,,,11790.8,,
2020-02-15 00:00:00,11455.0,11852.0,11402.0,11762.0,750087.0,,,,,,,,,,11740.6,,
2020-02-22 00:00:00,11710.0,11830.0,11600.0,11603.0,752036.0,,,,,,,,,,11640.0,,
2020-02-29 00:00:00,11509.0,11587.0,11160.0,11162.0,847234.0,,,,,,,,,,11452.6,,
2020-03-07 00:00:00,11011.0,11501.0,11005.0,11225.0,1221400.0,,,,,,,,,,11449.4,11674.9,
2020-03-14 00:00:00,10975.0,11108.0,9450.0,10185.0,1999095.0,,,,,,,26.9494459589,18.7134509465,,11187.4,11489.1,
2020-03-21 00:00:00,9919.0,10055.0,8268.0,8910.0,1773492.0,,,,,,,20.3104703728,22.2291882049,,10617.0,11178.8,
2020-03-28 00:00:00,8609.0,9910.0,8555.0,9406.0,1453096.0,,,,,,,30.2768947355,25.8456036891,,10177.6,10908.8,
2020-04-04 00:00:00,9376.0,9717.0,9266.0,9464.0,617485.0,,,,,,,35.8006875187,28.7960175424,,9838.0,10645.3,
2020-04-11 00:00:00,9741.0,10197.0,9582.0,10127.0,902422.0,,,,,,,58.8280214515,41.6352012353,33.2047685835,9618.4,10533.9,
2020-04-18 00:00:00,10084.0,10669.0,10031.0,10525.0,747169.0,,,,,,,87.6508505515,60.7598531739,37.8731624103,9686.4,10436.9,
2020-04-25 00:00:00,10515.0,10560.0,10061.0,10353.0,845589.0,,,,,,,89.7316212532,78.7368310854,36.6800482935,9975.0,10296.0,
2020-05-02 00:00:00,10373.0,10971.0,10368.0,10775.0,648919.0,,,,,,,91.6711907062,89.6845541703,41.5456436079,10248.8,10213.2,
2020-05-09 00:00:00,10540.0,10956.0,10477.0,10953.0,782731.0,,,,,,,99.0141637332,93.4723252309,43.5171765687,10546.6,10192.3,
