date,open,high,low,close,volume,macd,macdsignal,macdhist,upperband,middleband,lowerband,slowk,slowd,rsi,sma5,sma10,sma20
2020-01-04 00:00:00,9.36,9.47,9.34,9.39,393.44,,,,,,,,,,,,
2020-01-11 00:00:00,9.39,9.47,9.21,9.3,1260.309,,,,,,,,,,,,
2020-01-18 00:00:00,9.24,9.38,9.11,9.29,2860.656,,,,,,,,,,,,
2020-01-25 00:00:00,9.35,9.36,9.27,9.28,193.621,,,,,,,,,,,,
2020-02-01 00:00:00,8.9,9.18,8.78,8.79,523.83,,,,,,,,,,9.21,,
2020-02-08 00:00:00,8.87,9.25,8.65,8.71,1242.75,,,,,,,,,,9.074,,
2020-02-15 00:00:00,8.66,8.85,8.64,8.66,780.377,,,,,,,,,,8.946,,
2020-02-22 00:00:00,8.7,8.75,8.59,8.68,273.218,,,,,,,,,,8.824,,
2020-02-29 00:00:00,8.73,8.74,8.4,8.4,326.346,,,,,,,,,,8.648,,
2020-03-07 00:00:00,8.23,8.5,8.23,8.31,695.349,,,,,,,,,,8.552,8.881,
2020-03-14 00:00:00,8.33,8.33,7.0,7.17,848.159,,,,,,,8.5340914491,5.7840753635,,8.244,8.659,
2020-03-21 00:00:00,7.24,7.24,5.81,6.18,1780.369,,,,,,,11.8246119957,8.8577816403,,7.748,8.347,
2020-03-28 00:00:00,5.83,6.68,5.72,6.47,978.65,,,,,,,22.0243999412,14.1277011286,,7.306,8.065,
2020-04-04 00:00:00,6.46,6.73,6.32,6.65,211.282,,,,,,,31.7409564568,21.8633227979,,6.956,7.802,
2020-04-11 00:00:00,6.65,7.73,6.55,7.73,1965.172,,,,,,,67.2668584561,40.344071618,32.7083333333,6.84,7.696,
2020-04-18 00:00:00,7.73,8.29,7.3,7.54,3342.411,,,,,,,73.9387126824,57.6488425317,31.371042115,6.914,7.579,
2020-04-25 00:00:00,7.45,7.52,7.04,7.43,828.619,,,,,,,71.6161614925,70.9405775437,30.5912329652,7.164,7.456,
2020-05-02 00:00:00,7.49,7.73,7.43,7.7,504.339,,,,,,,72.4010718976,72.6519820242,34.8707172757,7.41,7.358,
2020-05-09 00:00:00,7.67,7.88,7.5,7.8,1280.341,,,,,,,73.3509611587,72.4560648496,36.4339486484,7.64,7.298,
2020-05-16 00:00:00,7.88,7.92,7.5,7.72,657.464,,,,10.0587212662,8.06,6.0612787338,60.1311529544,68.6277286702,35.6958084455,7.638,7.239,8.06
2020-05-23 00:00:00,7.72,7.85,7.65,7.7,464.403,,,,9.8733757988,7.9755,6.0776242012,70.8434126647,68.1085089259,35.5021608551,7.67,7.292,7.9755
2020-05-30 00:00:00,7.8,8.29,7.75,8.08,1328.356,,,,9.7036639521,7.9145,6.1253360479,74.9966709377,68.6570788523,41.94627535,7.8,7.482,7.9145
2020-06-06 00:00:00,8.09,8.49,8.06,8.33,633.719,,,,9.5433506575,7.8665,6.1896493425,82.3739079759,76.0713305261,45.7841059611,7.926,7.668,7.8665
2020-06-13 00:00:00,8.4,8.4,8.0,8.16,1066.883,,,,9.3520698646,7.8105,6.2689301354,71.7055483223,76.3587090787,43.6699732971,7.998,7.819,7.8105
