date,open,high,low,close,volume,macd,macdsignal,macdhist,upperband,middleband,lowerband,slowk,slowd,rsi,sma5,sma10,sma20
2020-01-04 00:00:00,25.0,25.25,24.799999,25.0,315.255,,,,,,,,,,,,
2020-01-11 00:00:00,24.9,24.9,24.049999,24.700001,854.401,,,,,,,,,,,,
2020-01-18 00:00:00,25.0,25.35,24.700001,25.200001,965.013,,,,,,,,,,,,
2020-01-25 00:00:00,25.200001,25.25,24.950001,25.1,136.253,,,,,,,,,,,,
2020-02-01 00:00:00,23.200001,23.5,22.700001,22.950001,867.932,,,,,,,,,,24.5900006,,
2020-02-08 00:00:00,22.799999,24.6,21.9,22.85,751.041,,,,,,,,,,24.1600006,,
2020-02-15 00:00:00,22.799999,23.049999,22.4,22.75,526.713,,,,,,,,,,23.7700004,,
2020-02-22 00:00:00,22.75,23.0,22.5,22.799999,543.059,,,,,,,,,,23.29,,
2020-02-29 00:00:00,22.799999,22.799999,21.9,22.0,674.857,,,,,,,,,,22.67,,
2020-03-07 00:00:00,21.5,22.25,21.200001,22.200001,647.026,,,,,,,,,,22.52,23.5550003,
2020-03-14 00:00:00,22.200001,22.75,18.6,19.700001,1719.737,,,,,,,24.4896022086,18.420039841,,21.8900002,23.0250004,
2020-03-21 00:00:00,19.9,19.9,16.9,17.6,1080.814,,,,,,,15.06684074,20.7451533436,,20.8600002,22.3150003,
2020-03-28 00:00:00,17.0,18.9,16.25,17.85,917.698,,,,,,,21.5273487538,20.3612639008,,19.8700004,21.5800002,
2020-04-04 00:00:00,17.799999,18.4,17.4,17.75,466.811,,,,,,,22.8545885538,19.8162593492,,19.0200004,20.8450002,
2020-04-11 00:00:00,17.75,18.5,17.4,18.5,765.477,,,,,,,31.8958282884,25.4259218654,17.5,18.2800002,20.4000001,
2020-04-18 00:00:00,18.4,19.35,18.25,19.0,805.367,,,,,,,65.3813381574,40.0439183332,21.7153284672,18.14,20.0150001,
2020-04-25 00:00:00,19.200001,19.200001,18.1,18.65,439.94,,,,,,,77.8006643376,58.3592769278,20.9099264706,18.35,19.6050001,
2020-05-02 00:00:00,18.799999,19.65,18.700001,19.5,590.195,,,,,,,92.7456523789,78.6425516246,27.9034544986,18.68,19.2750002,
2020-05-09 00:00:00,19.450001,20.6,19.0,19.65,733.427,,,,,,,79.3631946278,83.3031704481,29.0949934895,19.06,19.0400002,
2020-05-16 00:00:00,19.65,20.450001,19.299999,19.5,450.107,,,,26.6267266235,21.1625002,15.6982737765,63.0205315331,78.3764595133,28.5862076335,19.26,18.7700001,21.1625002
2020-05-23 00:00:00,19.4,20.5,19.200001,19.65,1036.458,,,,26.0718200193,20.8950002,15.7181803807,61.6797328761,68.0211530124,29.9062287405,19.39,18.765,20.8950002
2020-05-30 00:00:00,19.65,20.15,19.450001,19.799999,450.742,,,,25.5086761246,20.6500001,15.7913240754,58.3455965302,61.0152869798,31.274272264,19.6199998,18.9849999,20.6500001
2020-06-06 00:00:00,19.85,20.6,19.85,20.6,671.464,,,,24.7569450355,20.42000005,16.0830550645,88.9783322863,69.6678872309,38.2018701277,19.8399998,19.2599999,20.42000005
2020-06-13 00:00:00,20.799999,21.0,19.85,20.15,802.215,,,,23.8773005984,20.17250005,16.4676995016,63.9752468111,70.4330585426,36.0034336998,19.9399998,19.4999999,20.17250005
2020-06-20 00:00:00,20.15,20.85,20.1,20.799999,520.952,,,,23.5378024375,20.06499995,16.5921974625,82.0084083383,78.3206624786,41.2616215689,20.1999996,19.7299998,20.06499995
2020-06-27 00:00:00,20.799999,20.9,20.6,20.9,246.517,,,,23.2019898652,19.96749995,16.7330100348,91.7314702561,79.2383751352,42.0504917117,20.4499996,19.9199998,19.96749995
2020-07-04 00:00:00,20.700001,21.1,20.0,20.6,818.385,,,,22.8251299264,19.85999995,16.8948699736,69.4551767043,81.0650184329,40.301814073,20.6099998,20.1149998,19.85999995
2020-07-11 00:00:00,20.799999,20.950001,20.200001,20.5,1018.709,,,,22.3752239112,19.745,17.1147760888,55.5223091403,72.2363187002,39.7090369144,20.5899998,20.2149998,19.745
2020-07-18 00:00:00,20.5,20.799999,20.25,20.4,641.315,,,,22.0864057535,19.665,17.2435942465,39.4312422369,54.8029093605,39.0898587252,20.6399998,20.2899998,19.665
2020-07-25 00:00:00,20.1,20.85,20.0,20.35,722.471,,,,21.6966357983,19.57249995,17.4483641017,31.2324831337,42.0620115036,38.7643865258,20.55,20.3749998,19.57249995
